['conquest.n.01.conquest', 'conquest.n.01.subjection']
['conquest.n.01.conquest', 'conquest.n.01.subjugation']
['conquest.n.01.conquering', 'conquest.n.01.subjection']
['conquest.n.01.conquering', 'conquest.n.01.subjugation']
['conquest.n.01.subjection', 'conquest.n.01.subjugation']
['restitution.n.03.restitution', 'restitution.n.03.return']
['restitution.n.03.restitution', 'restitution.n.03.restoration']
['restitution.n.03.restitution', 'restitution.n.03.regaining']
['restitution.n.03.return', 'restitution.n.03.restoration']
['restitution.n.03.return', 'restitution.n.03.regaining']
['restitution.n.03.restoration', 'restitution.n.03.regaining']
['reception.n.04.reception', 'reception.n.04.receipt']
['rescue.n.01.rescue', 'rescue.n.01.deliverance']
['rescue.n.01.rescue', 'rescue.n.01.delivery']
['rescue.n.01.rescue', 'rescue.n.01.saving']
['rescue.n.01.deliverance', 'rescue.n.01.delivery']
['rescue.n.01.deliverance', 'rescue.n.01.saving']
['rescue.n.01.delivery', 'rescue.n.01.saving']
['redemption.n.01.redemption', 'redemption.n.01.salvation']
['absolution.n.02.absolution', 'absolution.n.02.remission']
['absolution.n.02.absolution', 'absolution.n.02.remittal']
['absolution.n.02.remission', 'absolution.n.02.remittal']
['conversion.n.04.conversion', 'conversion.n.04.rebirth']
['expiation.n.02.expiation', 'expiation.n.02.atonement']
['expiation.n.02.expiation', 'expiation.n.02.propitiation']
['expiation.n.02.atonement', 'expiation.n.02.propitiation']
['reparation.n.04.reparation', 'reparation.n.04.amends']
['liberation.n.01.liberation', 'liberation.n.01.release']
['liberation.n.01.liberation', 'liberation.n.01.freeing']
['liberation.n.01.release', 'liberation.n.01.freeing']
['reclamation.n.02.reclamation', 'reclamation.n.02.reformation']
['recapture.n.02.recapture', 'recapture.n.02.retaking']
['performance.n.03.performance', 'performance.n.03.execution']
['mechanism.n.02.mechanism', 'mechanism.n.02.mechanics']
['juggle.n.02.juggle', 'juggle.n.02.juggling']
['magic_trick.n.01.conjuring_trick', 'magic_trick.n.01.trick']
['magic_trick.n.01.conjuring_trick', 'magic_trick.n.01.magic']
['magic_trick.n.01.conjuring_trick', 'magic_trick.n.01.legerdemain']
['magic_trick.n.01.conjuring_trick', 'magic_trick.n.01.conjuration']
['magic_trick.n.01.conjuring_trick', 'magic_trick.n.01.illusion']
['magic_trick.n.01.conjuring_trick', 'magic_trick.n.01.deception']
['magic_trick.n.01.trick', 'magic_trick.n.01.magic']
['magic_trick.n.01.trick', 'magic_trick.n.01.legerdemain']
['magic_trick.n.01.trick', 'magic_trick.n.01.conjuration']
['magic_trick.n.01.trick', 'magic_trick.n.01.illusion']
['magic_trick.n.01.trick', 'magic_trick.n.01.deception']
['magic_trick.n.01.magic', 'magic_trick.n.01.legerdemain']
['magic_trick.n.01.magic', 'magic_trick.n.01.conjuration']
['magic_trick.n.01.magic', 'magic_trick.n.01.illusion']
['magic_trick.n.01.magic', 'magic_trick.n.01.deception']
['magic_trick.n.01.legerdemain', 'magic_trick.n.01.conjuration']
['magic_trick.n.01.legerdemain', 'magic_trick.n.01.illusion']
['magic_trick.n.01.legerdemain', 'magic_trick.n.01.deception']
['magic_trick.n.01.conjuration', 'magic_trick.n.01.illusion']
['magic_trick.n.01.conjuration', 'magic_trick.n.01.deception']
['magic_trick.n.01.illusion', 'magic_trick.n.01.deception']
['rendition.n.04.rendition', 'rendition.n.04.rendering']
['rendition.n.04.rendition', 'rendition.n.04.interpretation']
['rendition.n.04.rendering', 'rendition.n.04.interpretation']
['automation.n.01.automation', 'automation.n.01.mechanization']
['motorization.n.01.motorization', 'motorization.n.01.motorisation']
['launching.n.03.launching', 'launching.n.03.launch']
['blastoff.n.01.blastoff', 'blastoff.n.01.shot']
['drive.n.01.drive', 'drive.n.01.thrust']
['impulse.n.05.impulse', 'impulse.n.05.impulsion']
['impulse.n.05.impulse', 'impulse.n.05.impetus']
['impulse.n.05.impulsion', 'impulse.n.05.impetus']
['roll.n.15.roll', 'roll.n.15.bowl']
['heave.n.06.heave', 'heave.n.06.heaving']
['hurl.n.01.hurl', 'hurl.n.01.cast']
['pass.n.15.pass', 'pass.n.15.toss']
['pass.n.15.pass', 'pass.n.15.flip']
['pass.n.15.toss', 'pass.n.15.flip']
['pitch.n.02.pitch', 'pitch.n.02.delivery']
['beanball.n.01.beanball', 'beanball.n.01.beaner']
['curve.n.03.curve', 'curve.n.03.bender']
['fastball.n.01.fastball', 'fastball.n.01.heater']
['fastball.n.01.fastball', 'fastball.n.01.smoke']
['fastball.n.01.fastball', 'fastball.n.01.hummer']
['fastball.n.01.fastball', 'fastball.n.01.bullet']
['fastball.n.01.heater', 'fastball.n.01.smoke']
['fastball.n.01.heater', 'fastball.n.01.hummer']
['fastball.n.01.heater', 'fastball.n.01.bullet']
['fastball.n.01.smoke', 'fastball.n.01.hummer']
['fastball.n.01.smoke', 'fastball.n.01.bullet']
['fastball.n.01.hummer', 'fastball.n.01.bullet']
['knuckleball.n.01.knuckleball', 'knuckleball.n.01.knuckler']
['spitball.n.02.spitball', 'spitball.n.02.spitter']
['push.n.01.push', 'push.n.01.pushing']
['nudge.n.01.nudge', 'nudge.n.01.jog']
['press.n.09.press', 'press.n.09.pressure']
['press.n.09.press', 'press.n.09.pressing']
['press.n.09.pressure', 'press.n.09.pressing']
['jostle.n.01.jostle', 'jostle.n.01.jostling']
['pull.n.01.pull', 'pull.n.01.pulling']
['draw.n.09.draw', 'draw.n.09.haul']
['draw.n.09.draw', 'draw.n.09.haulage']
['draw.n.09.haul', 'draw.n.09.haulage']
['tow.n.01.tow', 'tow.n.01.towage']
['tug.n.01.tug', 'tug.n.01.jerk']
['draft.n.11.draft', 'draft.n.11.drawing']
['extirpation.n.02.extirpation', 'extirpation.n.02.excision']
['extirpation.n.02.extirpation', 'extirpation.n.02.deracination']
['extirpation.n.02.excision', 'extirpation.n.02.deracination']
['lift.n.12.lift', 'lift.n.12.raise']
['lift.n.12.lift', 'lift.n.12.heave']
['lift.n.12.raise', 'lift.n.12.heave']
['expulsion.n.03.expulsion', 'expulsion.n.03.projection']
['expulsion.n.03.expulsion', 'expulsion.n.03.ejection']
['expulsion.n.03.projection', 'expulsion.n.03.ejection']
['belch.n.01.belch', 'belch.n.01.belching']
['belch.n.01.belch', 'belch.n.01.burp']
['belch.n.01.belch', 'belch.n.01.burping']
['belch.n.01.belch', 'belch.n.01.eructation']
['belch.n.01.belching', 'belch.n.01.burp']
['belch.n.01.belching', 'belch.n.01.burping']
['belch.n.01.belching', 'belch.n.01.eructation']
['belch.n.01.burp', 'belch.n.01.burping']
['belch.n.01.burp', 'belch.n.01.eructation']
['belch.n.01.burping', 'belch.n.01.eructation']
['blink.n.01.blink', 'blink.n.01.blinking']
['blink.n.01.blink', 'blink.n.01.wink']
['blink.n.01.blink', 'blink.n.01.winking']
['blink.n.01.blinking', 'blink.n.01.wink']
['blink.n.01.blinking', 'blink.n.01.winking']
['blink.n.01.wink', 'blink.n.01.winking']
['blush.n.02.blush', 'blush.n.02.flush']
['spit.n.04.spit', 'spit.n.04.spitting']
['spit.n.04.spit', 'spit.n.04.expectoration']
['spit.n.04.spitting', 'spit.n.04.expectoration']
['vomit.n.03.vomit', 'vomit.n.03.vomiting']
['vomit.n.03.vomit', 'vomit.n.03.emesis']
['vomit.n.03.vomit', 'vomit.n.03.regurgitation']
['vomit.n.03.vomit', 'vomit.n.03.disgorgement']
['vomit.n.03.vomit', 'vomit.n.03.puking']
['vomit.n.03.vomiting', 'vomit.n.03.emesis']
['vomit.n.03.vomiting', 'vomit.n.03.regurgitation']
['vomit.n.03.vomiting', 'vomit.n.03.disgorgement']
['vomit.n.03.vomiting', 'vomit.n.03.puking']
['vomit.n.03.emesis', 'vomit.n.03.regurgitation']
['vomit.n.03.emesis', 'vomit.n.03.disgorgement']
['vomit.n.03.emesis', 'vomit.n.03.puking']
['vomit.n.03.regurgitation', 'vomit.n.03.disgorgement']
['vomit.n.03.regurgitation', 'vomit.n.03.puking']
['vomit.n.03.disgorgement', 'vomit.n.03.puking']
['jump.n.06.jump', 'jump.n.06.jumping']
['leap.n.01.leap', 'leap.n.01.leaping']
['leap.n.01.leap', 'leap.n.01.spring']
['leap.n.01.leap', 'leap.n.01.bound']
['leap.n.01.leap', 'leap.n.01.bounce']
['leap.n.01.leaping', 'leap.n.01.spring']
['leap.n.01.leaping', 'leap.n.01.bound']
['leap.n.01.leaping', 'leap.n.01.bounce']
['leap.n.01.spring', 'leap.n.01.bound']
['leap.n.01.spring', 'leap.n.01.bounce']
['leap.n.01.bound', 'leap.n.01.bounce']
['vault.n.04.vault', 'vault.n.04.hurdle']
['centering.n.02.centering', 'centering.n.02.snap']
['transmission.n.01.transmission', 'transmission.n.01.transmittal']
['transmission.n.01.transmission', 'transmission.n.01.transmitting']
['transmission.n.01.transmittal', 'transmission.n.01.transmitting']
['remission.n.03.remission', 'remission.n.03.remit']
['mailing.n.02.mailing', 'mailing.n.02.posting']
['wheeling.n.02.wheeling', 'wheeling.n.02.rolling']
['shooting.n.01.shooting', 'shooting.n.01.shot']
['discharge.n.09.discharge', 'discharge.n.09.firing']
